#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,FC Everton,Angleterre,63 K €,28,1 K €,15,-62 K €
2,,FC Arsenal,Angleterre,49 K €,32,4 K €,23,-45 K €
3,,FC Liverpool,Angleterre,32 K €,22,1 K €,13,-31 K €
4,,Blackpool FC,Angleterre,20 K €,15,6 K €,9,-14 K €
5,,Racing Club Paris,Ligue 1,20 K €,21,-,13,-20 K €
6,,FC Fulham,Angleterre,18 K €,67,7 K €,53,-12 K €
7,,Chelsea FC,Angleterre,12 K €,23,-,13,-12 K €
8,,FC Brentford,Angleterre,9 K €,13,750 €,7,-8 K €
9,,Blackburn Rovers,Angleterre,6 K €,13,-,11,-6 K €
10,,Manchester United,Angleterre,5 K €,13,5 K €,9,0 K €
11,,Leicester City,Angleterre,4 K €,11,5 K €,10,1 K €
12,,Bolton Wanderers,Angleterre,4 K €,11,18 K €,8,14 K €
13,,Wolverhampton Wanderers,Angleterre,4 K €,22,1 K €,16,-3 K €
14,,West Bromwich Albion,Angleterre,4 K €,13,-,7,-4 K €
15,,AFC Sunderland,Angleterre,3 K €,13,6 K €,9,3 K €
16,,Tottenham Hotspur,Angleterre,3 K €,12,9 K €,11,6 K €
17,,Crystal Palace,Angleterre,3 K €,6,350 €,6,-3 K €
18,,Real Madrid,Espagne,3 K €,85,30 €,90,-3 K €
19,,Derby County,Angleterre,3 K €,20,-,12,-3 K €
20,,Newcastle United,Angleterre,2 K €,23,200 €,21,-2 K €
21,,Glasgow Rangers,Écosse,2 K €,21,46 K €,23,43 K €
22,,Doncaster Rovers,Angleterre,2 K €,5,2 K €,3,0 K €
23,,FC Reading,Angleterre,2 K €,6,2 K €,6,1 K €
24,,St. Johnstone FC,Écosse,1 K €,5,1 K €,6,0 K €
25,,Hull City,Angleterre,1 K €,9,3 K €,12,1 K €
26,,Notts County,Angleterre,1 K €,9,7 K €,8,5 K €
27,,Northampton Town,Angleterre,1 K €,6,-,3,-1 K €
28,,Huddersfield Town,Angleterre,800 €,24,-,16,-1 K €
29,,Charlton Athletic,Angleterre,750 €,10,2 K €,8,1 K €
30,,Athletic de Madrid,Espagne,690 €,92,30 €,91,-1 K €
31,,Lincoln City,Angleterre,575 €,5,1 K €,5,1 K €
32,,Dundee United FC,Écosse,500 €,10,-,12,-1 K €
33,,Queens Park Rangers,Angleterre,460 €,7,-,4,0 K €
34,,FC Barcelona,Espagne,450 €,131,-,138,0 K €
35,,St. Mirren FC,Écosse,415 €,5,880 €,4,0 K €
36,,Bury FC,Angleterre,400 €,3,9 K €,6,9 K €
37,,Club Deportivo Coruña,Espagne,258 €,31,600 €,31,0 K €
38,,Sheffield Wednesday,Angleterre,230 €,24,8 K €,20,7 K €
39,,Oviedo FC,Espagne,180 €,39,-,40,0 K €
40,,Athletic Bilbao,Espagne,180 €,78,210 €,81,0 K €
41,,Real Betis Balompié,Espagne,150 €,54,300 €,54,0 K €
42,,Arenas Club,Espagne,60 €,86,552 €,98,0 K €
43,,Wiener AC,Autriche,40 €,58,20 K €,54,20 K €
44,,FC Valencia,Espagne,30 €,61,-,61,0 K €
45,,CD Español,Espagne,30 €,105,901 €,105,1 K €
46,,Celtic Glasgow,Écosse,20 €,17,-,17,0 K €
47,,FC Hércules,Espagne,12 €,26,-,26,0 K €
48,,CD Basconia,Espagne,-,1,-,1,+-0
49,,TuS Duisburg 48/99,Allemagne,-,3,-,2,+-0
50,,Dynamo Kyiv II,Ukraine,-,1,-,0,+-0
51,,Durham City AFC,Angleterre,-,3,-,4,+-0
52,,SV Großpetersdorf,Autriche,-,1,-,1,+-0
53,,Zenit Leningrad,Vyschaya Liga (- 1991),-,20,-,3,+-0
54,,Tivoli Calcio 1919,Italie,-,2,-,4,+-0
55,,Esporte Clube Siderúrgica (MG),Brésil,-,1,-,0,+-0
56,,SK Sport Tallinn (- 2008),Estonie,-,23,-,28,+-0
