#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,FC Everton,Angleterre,2 K €,13,270 €,9,-2 K €
2,,FC Liverpool,Angleterre,1 K €,18,-,12,-1 K €
3,,Preston North End,Angleterre,1 K €,4,-,3,-1 K €
4,,FC Fulham,Angleterre,1 K €,12,-,6,-1 K €
5,,Woolwich Arsenal,Angleterre,900 €,12,100 €,8,-1 K €
6,,Newcastle United,Angleterre,630 €,17,900 €,11,0 K €
7,,Sheffield Wednesday,Angleterre,300 €,6,285 €,5,0 K €
8,,Northampton Town,Angleterre,285 €,2,1 K €,2,1 K €
9,,Aston Villa,Angleterre,280 €,4,-,6,0 K €
10,,Chelsea FC,Angleterre,225 €,9,-,4,0 K €
11,,Manchester United,Angleterre,100 €,5,-,2,0 K €
12,,FC Young Boys,Super League,-,1,-,1,+-0
13,,Juventud de Las Piedras,Uruguay,-,1,-,0,+-0
14,,Santiago Wanderers,Chili,-,6,-,2,+-0
15,,CURCC,Uruguay,-,2,-,2,+-0
16,,Cracovia,Pologne,-,2,-,2,+-0
17,,CA Boca Juniors,Argentine,-,3,-,2,+-0
18,,MTV München,Allemagne,-,1,-,0,+-0
19,,AC Hellas,Italie,-,1,-,0,+-0
20,,Vereinigte Breslauer Sportfreunde,Allemagne,-,1,-,0,+-0
21,,Defensor Sporting Club,Uruguay,-,1,-,0,+-0
22,,Ayr United FC,Écosse,-,2,-,2,+-0
23,,Slavia Sofia,Bulgarie,-,1,-,0,+-0
24,,Mittweidaer BC (- 1944),Allemagne,-,5,-,6,+-0
25,,SVV Schiedam,Pays-Bas,-,1,-,0,+-0
26,,VV Heerenveen,Pays-Bas,-,1,-,0,+-0
27,,Girvan FC,Écosse,-,1,-,1,+-0
28,,Cercle Bruges,Belgique,-,13,-,5,+-0
29,,West Ham United,Angleterre,-,4,-,3,+-0
30,,Crook Town AFC,Angleterre,-,1,-,1,+-0
31,,CA Rosario Central,Argentine,-,5,-,1,+-0
32,,Örgryte IS,Suède,-,3,-,2,+-0
33,,Magyar Atlétikai Club,Hongrie,-,5,-,3,+-0
34,,Pause en carrière,,-,8,-,6,+-0
35,,Queens Park Rangers,Angleterre,-,3,-,3,+-0
36,,Servette FC,Super League,-,2,-,1,+-0
37,,BFC Viktoria 89,Allemagne,-,2,-,1,+-0
38,,CA Peñarol,Uruguay,-,2,-,0,+-0
39,,Sportfreunde Leipzig,Allemagne,-,1,-,0,+-0
40,,Unión Española,Chili,-,1,-,1,+-0
41,,Derby County,Angleterre,-,3,-,4,+-0
42,,Magallanes CF,Chili,-,1,-,1,+-0
43,,Juventus Turin,Italie,-,3,-,4,+-0
44,,VfB Marathon 06 Remscheid,Allemagne,-,1,-,1,+-0
45,,VV Veendam,Pays-Bas,-,1,-,0,+-0
46,,SpC Rudolfshügel (- 1934),Bundesliga,-,2,-,1,+-0
47,,Novara Calcio 1908,Italie,-,1,-,0,+-0
48,,Akademisk Boldklub,Danemark,-,7,-,3,+-0
49,,AGOVV,Pays-Bas,-,1,-,0,+-0
50,,Blackburn Rovers,Angleterre,-,4,-,4,+-0
51,,BSG Einheit Meerane,Allemagne,-,1,-,0,+-0
52,,Kettering Town,Angleterre,-,1,-,1,+-0
53,,Leicester Fosse,Angleterre,-,10,-,10,+-0
54,,Defensa y Justicia,Argentine,-,1,-,0,+-0
55,,RCD Español,Espagne,-,25,-,25,+-0
56,,Sportfreunde Stuttgart,Allemagne,-,1,-,1,+-0
57,,Standard de Liège,Belgique,-,8,-,4,+-0
58,,Tourcoing FC,France,-,1,-,0,+-0
59,,Eintracht Francfort,Allemagne,-,2,-,1,+-0
60,,Racing Club de Roubaix,France,-,1,-,1,+-0
61,,Karlsruher SV,Allemagne,-,1,-,0,+-0
