#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,Stuttgarter SC,Allemagne,-,1,-,0,+-0
2,,Liverpool FC Montevideo,Uruguay,-,1,-,0,+-0
3,,VfR Köln 04,Allemagne,-,1,-,0,+-0
4,,Stuttgarter Kickers,Allemagne,-,2,-,2,+-0
5,,Birmingham City,Angleterre,-,1,-,1,+-0
6,,CA Peñarol,Uruguay,-,4,-,0,+-0
7,,CA Rosario Central,Argentine,-,6,-,4,+-0
8,,América Football Club (RJ),Brésil,-,6,-,1,+-0
9,,USV Hercules,Pays-Bas,-,1,-,0,+-0
10,,Levski Sofia,Bulgarie,-,1,-,0,+-0
11,,Santiago Wanderers,Chili,-,1,-,5,+-0
12,,Wiener AF,Bundesliga,-,1,-,3,+-0
13,,OGC Nice,France,-,1,-,1,+-0
14,,Club Atlético Atlanta,Argentine,-,2,-,1,+-0
15,,UE Sants,Espagne,-,1,-,2,+-0
16,,Sporting CP,Portugal,-,1,-,0,+-0
17,,SC Sturm 1907,Autriche,-,1,-,0,+-0
18,,FC Wacker München,Allemagne,-,2,-,0,+-0
19,,CA Central Córdoba (Rosario),Argentine,-,1,-,0,+-0
20,,C.S. Pirelli,Italie,-,1,-,0,+-0
21,,VfR Mannheim,Allemagne,-,2,-,1,+-0
22,,FBC Torino,Italie,-,3,-,3,+-0
23,,FC Fulham,Angleterre,-,2,-,3,+-0
24,,Pause en carrière,,-,59,-,15,+-0
25,,Boldklubben 1903,Danemark,-,5,-,0,+-0
26,,Belfast Celtic FC (- 1949),Irlande du Nord,-,4,-,2,+-0
27,,Holstein Kiel,Allemagne,-,2,-,3,+-0
28,,Lisburn Distillery FC,Irlande du Nord,-,2,-,2,+-0
29,,SC Wacker Wien,Bundesliga,-,3,-,0,+-0
30,,IFK Göteborg,Suède,-,1,-,2,+-0
31,,Unión Club de Irún,Espagne,-,4,-,3,+-0
32,,Frigg Oslo FK,Norvège,-,1,-,0,+-0
33,,SG Genossenschaften Halle,Allemagne,-,1,-,0,+-0
34,,Törekvés SE,Hongrie,-,1,-,0,+-0
35,,HVV Den Haag,Pays-Bas,-,1,-,1,+-0
36,,Club Almagro,Argentine,-,1,-,0,+-0
37,,Ticha Varna,Bulgarie,-,3,-,0,+-0
38,,1.FC Nürnberg,Allemagne,-,7,-,2,+-0
39,,FC Barcelona,Espagne,-,16,-,23,+-0
40,,AVC Vitesse,Pays-Bas,-,2,-,1,+-0
41,,Sociedade Esportiva Palmeiras,Brésil,-,7,-,2,+-0
42,,Fluminense Football Club,Brésil,-,7,-,1,+-0
43,,Puteoli Sporting Club,Italie,-,1,-,1,+-0
44,,Magdeburger FC Viktoria 1896,Allemagne,-,1,-,1,+-0
45,,Lazio Rome,Italie,-,1,-,0,+-0
46,,Cracovia,Pologne,-,2,-,0,+-0
