#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,FC Arsenal,Angleterre,16 K €,4,5 K €,7,-11 K €
2,,Bolton Wanderers,Angleterre,9 K €,4,-,1,-9 K €
3,,Chelsea FC,Angleterre,9 K €,4,-,7,-9 K €
4,,Blackpool FC,Angleterre,8 K €,5,-,2,-8 K €
5,,CF Barcelona,LaLiga,5 K €,95,-,78,-5 K €
6,,Newcastle United,Angleterre,4 K €,14,-,4,-4 K €
7,,Sevilla FC,LaLiga,2 K €,41,-,26,-2 K €
8,,Sheffield United,Angleterre,2 K €,7,-,2,-2 K €
9,,Real Madrid,LaLiga,1 K €,62,-,43,-1 K €
10,,RC Deportivo Coruña,LaLiga,750 €,29,-,16,-1 K €
11,,FC Valencia,LaLiga,690 €,38,-,19,-1 K €
12,,Tranmere Rovers,Angleterre,580 €,2,-,4,-1 K €
13,,UD Salamanca,Espagne,300 €,18,-,15,0 K €
14,,Celta Vigo,LaLiga2,180 €,45,-,32,0 K €
15,,Atlético-Aviación,LaLiga,180 €,44,450 €,23,0 K €
16,,Stoke City,Angleterre,48 €,7,-,1,0 K €
17,,Deportivo Alavés,Espagne,-,15,-,17,+-0
18,,Zenit Sverdlovsk,URSS,-,1,-,0,+-0
19,,RC Codogno 1908,Italie,-,3,-,3,+-0
20,,FC Lyon,France,-,3,-,3,+-0
21,,Reichsbahn Wien VI,Autriche,-,1,-,1,+-0
22,,Carrarese Calcio 1908,Italie,-,8,-,6,+-0
23,,Associação Atlética Portuguesa (SP),Brésil,-,2,-,4,+-0
24,,US Massese 1919,Italie,-,1,-,1,+-0
25,,CD Castellón,LaLiga,-,29,4 K €,22,4 K €
26,,Lokomotyv Kyiv,Ukraine,-,6,-,23,+-0
27,,SG Sampierdarenese,Italie,-,3,-,2,+-0
28,,SD Erandio Club,Espagne,-,7,-,6,+-0
29,,Accrington Stanley,Angleterre,-,2,-,2,+-0
30,,AC Ercolano 1924,Italie,-,1,-,0,+-0
31,,CA Talleres (Remedios de Escalada),Argentine,-,1,-,1,+-0
32,,Audace San Michele,Italie,-,6,-,6,+-0
33,,NSTG Falkenau,Allemagne,-,1,-,1,+-0
34,,CD Granollers,Espagne,-,9,-,10,+-0
35,,Spartak Kharkiv,URSS,-,22,-,47,+-0
36,,Sant Celoni CF,Espagne,-,1,-,1,+-0
37,,Algeciras CF,Espagne,-,1,-,2,+-0
38,,Deportivo Municipal,Pérou,-,8,-,4,+-0
39,,SpG WSG Wattens-FC Wacker Tirol,Autriche,-,1,-,1,+-0
40,,CAM Timisoara (- 19XX),Roumanie,-,1,-,1,+-0
41,,Karlsruher SC,Allemagne,-,3,-,2,+-0
42,,IK Sleipner,Suède,-,1,-,3,+-0
43,,Quilmes Atlético Club,Argentine,-,1,-,1,+-0
44,,Club Atlético Talleres,Argentine,-,3,-,4,+-0
45,,FK Austria W.A.C. Jugend,Autriche,-,1,-,3,+-0
46,,ÉF Paris-Capitale,France,-,2,-,3,+-0
47,,Minyor Pernik,Bulgarie,-,1,-,2,+-0
48,,América Football Club (RJ),Brésil,-,6,-,6,+-0
49,,CA Boca Juniors,Superliga,-,15,-,17,+-0
50,,ÉF Grenoble-Dauphiné,France,-,1,-,1,+-0
51,,SpVgg Fürth,Allemagne,-,2,-,5,+-0
52,,PAOK Thessaloniki,Grèce,-,1,-,0,+-0
53,,ESV Admira Wien,Autriche,-,16,-,19,+-0
54,,GAIS Göteborg,Suède,-,1,-,3,+-0
55,,1908 SZAC Budapest,Hongrie,-,1,-,0,+-0
56,,Club Atlético de Ceuta,Espagne,-,1,-,1,+-0
57,,AC Prato,Italie,-,25,-,29,+-0
58,,Defensores de Belgrano,Argentine,-,1,-,2,+-0
59,,Alba Motor Roma,Italie,-,3,-,3,+-0
60,,Slavia Sofia,Bulgarie,-,6,-,9,+-0
61,,CA Independiente,Superliga,-,9,-,9,+-0
62,,Traktor Chelyabinsk,URSS,-,6,-,1,+-0
63,,Club Langreano,Espagne,-,1,-,1,+-0
64,,AC Marzotto Valdagno,Italie,-,2,-,3,+-0
65,,AC Napoli,Italie,-,34,-,45,+-0
66,,ÉF Lyon-Lyonnais,France,-,1,-,1,+-0
67,,Dinamo Chelyabinsk (-1949),URSS,-,1,-,0,+-0
68,,Bury FC,Angleterre,-,1,-,1,+-0
69,,Törekvés SE,Hongrie,-,5,-,3,+-0
70,,SC Konstanz-Wollmatingen,Allemagne,-,1,-,0,+-0
