#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,FC Internazionale,Serie A,"401,19 mio. €",243,"114,71 mio. €",272,"-286,48 mio. €"
2,,FC Barcelone,LaLiga,"280,70 mio. €",168,"185,50 mio. €",171,"-95,20 mio. €"
3,,Juventus Turin,Serie A,"265,12 mio. €",197,"148,10 mio. €",210,"-117,02 mio. €"
4,,Milan AC,Serie A,"256,48 mio. €",277,"97,21 mio. €",299,"-159,27 mio. €"
5,,Real Madrid,LaLiga,"251,58 mio. €",155,"96,54 mio. €",149,"-155,04 mio. €"
6,,Lazio Rome,Serie A,"231,61 mio. €",226,"115,01 mio. €",273,"-116,60 mio. €"
7,,Newcastle United,Premier League,"190,38 mio. €",250,"121,55 mio. €",241,"-68,83 mio. €"
8,,Atlético de Madrid,LaLiga,"172,76 mio. €",171,"99,71 mio. €",167,"-73,05 mio. €"
9,,FC Liverpool,Premier League,"165,99 mio. €",167,"63,61 mio. €",161,"-102,38 mio. €"
10,,Deportivo de La Coruña,LaLiga,"150,67 mio. €",138,"58,34 mio. €",125,"-92,33 mio. €"
11,,AS Roma,Serie A,"147,37 mio. €",199,"46,00 mio. €",240,"-101,37 mio. €"
12,,AC Parma,Serie A,"139,45 mio. €",266,"99,09 mio. €",287,"-40,36 mio. €"
13,,Glasgow Rangers,Premiership,"136,56 mio. €",178,"52,86 mio. €",164,"-83,70 mio. €"
14,,Manchester United,Premier League,"131,45 mio. €",212,"56,35 mio. €",198,"-75,11 mio. €"
15,,Blackburn Rovers,First Division,"129,57 mio. €",197,"108,41 mio. €",180,"-21,16 mio. €"
16,,FC Arsenal,Premier League,"121,98 mio. €",181,"83,78 mio. €",176,"-38,19 mio. €"
17,,Aston Villa,Premier League,"118,54 mio. €",184,"76,68 mio. €",186,"-41,86 mio. €"
18,,Real Betis Balompié,LaLiga,"117,27 mio. €",144,"34,09 mio. €",149,"-83,18 mio. €"
19,,FC Everton,Premier League,"116,72 mio. €",214,"90,31 mio. €",218,"-26,41 mio. €"
20,,Bayern Munich,Bundesliga,"114,11 mio. €",137,"76,34 mio. €",137,"-37,77 mio. €"
21,,FC Valencia,LaLiga,"113,67 mio. €",142,"62,74 mio. €",144,"-50,93 mio. €"
22,,Tottenham Hotspur,Premier League,"112,94 mio. €",252,"61,58 mio. €",251,"-51,35 mio. €"
23,,Leeds United,Premier League,"109,38 mio. €",224,"52,42 mio. €",219,"-56,96 mio. €"
24,,Chelsea FC,Premier League,"109,35 mio. €",201,"46,59 mio. €",196,"-62,76 mio. €"
25,,Olympique de Marseille,Ligue 1,"99,60 mio. €",241,"83,43 mio. €",240,"-16,18 mio. €"
26,,AC Fiorentina,Serie A,"98,92 mio. €",223,"53,83 mio. €",260,"-45,09 mio. €"
27,,Borussia Dortmund,Bundesliga,"93,22 mio. €",144,"51,72 mio. €",146,"-41,50 mio. €"
28,,Middlesbrough FC,Premier League,"84,59 mio. €",180,"62,85 mio. €",175,"-21,74 mio. €"
29,,Ajax Amsterdam,Eredivisie,"81,83 mio. €",194,"110,40 mio. €",192,"28,58 mio. €"
30,,West Ham United,Premier League,"74,65 mio. €",231,"53,80 mio. €",209,"-20,85 mio. €"
31,,Sheffield Wednesday,Premier League,"74,08 mio. €",218,"51,82 mio. €",203,"-22,26 mio. €"
32,,Nottingham Forest,First Division,"71,45 mio. €",262,"77,64 mio. €",254,"6,18 mio. €"
33,,PSV Eindhoven,Eredivisie,"67,95 mio. €",195,"102,37 mio. €",205,"34,42 mio. €"
34,,Celta Vigo,LaLiga,"66,28 mio. €",139,"26,85 mio. €",144,"-39,44 mio. €"
35,,Bayer 04 Leverkusen,Bundesliga,"64,73 mio. €",156,"34,42 mio. €",151,"-30,31 mio. €"
36,,Celtic Glasgow,Premiership,"64,34 mio. €",165,"24,59 mio. €",150,"-39,76 mio. €"
