#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,Chelsea FC,Premier League,"434,49 mio. €",89,"58,39 mio. €",92,"-376,10 mio. €"
2,,FC Internazionale,Serie A,"362,57 mio. €",184,"268,36 mio. €",183,"-94,21 mio. €"
3,,Juventus Turin,Serie A,"359,62 mio. €",114,"240,74 mio. €",120,"-118,88 mio. €"
4,,Real Madrid,LaLiga,"340,65 mio. €",59,"115,80 mio. €",67,"-224,85 mio. €"
5,,FC Barcelone,LaLiga,"319,75 mio. €",60,"141,31 mio. €",60,"-178,44 mio. €"
6,,Lazio Rome,Serie A,"295,59 mio. €",90,"289,75 mio. €",88,"-5,84 mio. €"
7,,AC Milan,Serie A,"284,72 mio. €",128,"107,70 mio. €",130,"-177,02 mio. €"
8,,Manchester United,Premier League,"263,86 mio. €",88,"125,84 mio. €",91,"-138,02 mio. €"
9,,Parma FC,Serie A,"262,78 mio. €",145,"400,29 mio. €",151,"137,51 mio. €"
10,,AS Roma,Serie A,"227,79 mio. €",112,"142,34 mio. €",108,"-85,46 mio. €"
11,,FC Liverpool,Premier League,"171,11 mio. €",84,"84,63 mio. €",77,"-86,49 mio. €"
12,,FC Valencia,LaLiga,"158,80 mio. €",63,"132,65 mio. €",68,"-26,15 mio. €"
13,,Paris Saint-Germain,Ligue 1,"156,94 mio. €",98,"102,21 mio. €",99,"-54,73 mio. €"
14,,FC Arsenal,Premier League,"141,71 mio. €",98,"74,70 mio. €",96,"-67,02 mio. €"
15,,Tottenham Hotspur,Premier League,"141,17 mio. €",96,"25,81 mio. €",99,"-115,36 mio. €"
16,,Deportivo de La Coruña,LaLiga,"136,41 mio. €",69,"77,89 mio. €",72,"-58,52 mio. €"
17,,Newcastle United,Premier League,"121,50 mio. €",82,"54,77 mio. €",94,"-66,72 mio. €"
18,,Olympique Lyonnais,Ligue 1,"118,15 mio. €",57,"61,76 mio. €",54,"-56,39 mio. €"
19,,Leeds United,Championship,"108,08 mio. €",109,"141,55 mio. €",115,"33,48 mio. €"
20,,Bayern Munich,Bundesliga,"107,79 mio. €",31,"18,65 mio. €",30,"-89,14 mio. €"
21,,Middlesbrough FC,Premier League,"107,20 mio. €",116,"19,85 mio. €",123,"-87,35 mio. €"
22,,Borussia Dortmund,Bundesliga,"103,90 mio. €",43,"36,85 mio. €",41,"-67,05 mio. €"
23,,Olympique de Marseille,Ligue 1,"103,24 mio. €",126,"125,01 mio. €",127,"21,77 mio. €"
24,,Manchester City,Premier League,"101,00 mio. €",92,"23,38 mio. €",96,"-77,62 mio. €"
25,,Atlético de Madrid,LaLiga,"95,81 mio. €",93,"95,00 mio. €",96,-806 K €
26,,FC Fulham,Premier League,"91,05 mio. €",96,"35,50 mio. €",93,"-55,55 mio. €"
27,,AS Monaco,Ligue 1,"90,61 mio. €",79,"123,21 mio. €",81,"32,60 mio. €"
28,,Glasgow Rangers,Premiership,"89,73 mio. €",94,"82,74 mio. €",96,"-6,99 mio. €"
29,,FC Porto,Liga Portugal,"86,05 mio. €",134,"143,50 mio. €",135,"57,45 mio. €"
30,,Blackburn Rovers,Premier League,"85,20 mio. €",113,"68,90 mio. €",121,"-16,31 mio. €"
