#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,Chelsea FC,Premier League,"976,69 mio. €",74,"249,58 mio. €",70,"-727,11 mio. €"
2,,Manchester United,Premier League,"469,08 mio. €",54,"63,85 mio. €",46,"-405,23 mio. €"
3,,Manchester City,Premier League,"462,80 mio. €",68,"319,97 mio. €",68,"-142,83 mio. €"
4,,FC Arsenal,Premier League,"445,76 mio. €",51,"74,35 mio. €",52,"-371,41 mio. €"
5,,Juventus Turin,Serie A,"393,56 mio. €",64,"285,17 mio. €",61,"-108,39 mio. €"
6,,Tottenham Hotspur,Premier League,"384,30 mio. €",44,"86,67 mio. €",43,"-297,63 mio. €"
7,,Newcastle United,Premier League,"354,85 mio. €",42,"2,58 mio. €",39,"-352,28 mio. €"
8,,FC Barcelone,LaLiga,"339,50 mio. €",53,"260,06 mio. €",54,"-79,44 mio. €"
9,,Leeds United,Premier League,"332,69 mio. €",50,"114,50 mio. €",49,"-218,19 mio. €"
10,,Aston Villa,Premier League,"331,29 mio. €",57,"183,77 mio. €",56,"-147,52 mio. €"
11,,West Ham United,Premier League,"323,20 mio. €",38,"71,20 mio. €",38,"-252,01 mio. €"
12,,FC Liverpool,Premier League,"308,35 mio. €",38,"127,45 mio. €",36,"-180,90 mio. €"
13,,Wolverhampton Wanderers,Premier League,"302,30 mio. €",73,"173,87 mio. €",68,"-128,43 mio. €"
14,,Paris Saint-Germain,Ligue 1,"300,50 mio. €",65,"70,70 mio. €",68,"-229,80 mio. €"
15,,Bayern Munich,Bundesliga,"269,25 mio. €",45,"130,35 mio. €",42,"-138,90 mio. €"
16,,SL Benfica,Liga Portugal,"254,55 mio. €",89,"394,07 mio. €",92,"139,52 mio. €"
17,,Stade Rennais FC,Ligue 1,"232,56 mio. €",61,"195,82 mio. €",62,"-36,74 mio. €"
18,,Atalanta BC,Serie A,"227,14 mio. €",204,"230,14 mio. €",203,"3,00 mio. €"
19,,RasenBallsport Leipzig,Bundesliga,"225,12 mio. €",55,"266,82 mio. €",58,"41,70 mio. €"
20,,FC Southampton,Premier League,"224,05 mio. €",54,"92,15 mio. €",46,"-131,90 mio. €"
21,,Inter Milan,Serie A,"207,95 mio. €",115,"295,50 mio. €",119,"87,55 mio. €"
22,,AS Roma,Serie A,"207,75 mio. €",100,"130,99 mio. €",101,"-76,76 mio. €"
23,,Nottingham Forest,Premier League,"206,38 mio. €",86,"21,63 mio. €",75,"-184,76 mio. €"
24,,Atlético de Madrid,LaLiga,"201,20 mio. €",53,"126,30 mio. €",54,"-74,90 mio. €"
25,,Borussia Dortmund,Bundesliga,"199,60 mio. €",34,"194,50 mio. €",30,"-5,10 mio. €"
26,,Ajax Amsterdam,Eredivisie,"194,80 mio. €",43,"371,72 mio. €",47,"176,92 mio. €"
27,,FC Everton,Premier League,"192,07 mio. €",48,"154,03 mio. €",52,"-38,05 mio. €"
28,,Olympique de Marseille,Ligue 1,"186,94 mio. €",57,"77,03 mio. €",61,"-109,92 mio. €"
29,,SSC Napoli,Serie A,"176,60 mio. €",98,"206,71 mio. €",96,"30,11 mio. €"
30,,Leicester City,Premier League,"175,00 mio. €",40,"139,17 mio. €",38,"-35,83 mio. €"
31,,AC Milan,Serie A,"173,70 mio. €",86,"68,46 mio. €",81,"-105,24 mio. €"
32,,OGC Nice,Ligue 1,"168,23 mio. €",73,"90,96 mio. €",75,"-77,27 mio. €"
33,,Brighton & Hove Albion,Premier League,"159,23 mio. €",74,"237,00 mio. €",75,"77,77 mio. €"
34,,ACF Fiorentina,Serie A,"156,85 mio. €",123,"220,34 mio. €",124,"63,49 mio. €"
35,,Crystal Palace,Premier League,"154,62 mio. €",38,"25,46 mio. €",35,"-129,16 mio. €"
36,,Parma Calcio 1913,Serie B,"152,07 mio. €",155,"25,60 mio. €",150,"-126,47 mio. €"
37,,Sevilla FC,LaLiga,"145,25 mio. €",60,"139,68 mio. €",58,"-5,57 mio. €"
38,,AS Monaco,Ligue 1,"141,70 mio. €",74,"205,17 mio. €",77,"63,47 mio. €"
