#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,Real Madrid,LaLiga,"651,20 mio. €",70,"260,35 mio. €",71,"-390,85 mio. €"
2,,Manchester City,Premier League,"401,58 mio. €",112,"102,96 mio. €",106,"-298,61 mio. €"
3,,Tottenham Hotspur,Premier League,"375,91 mio. €",136,"206,40 mio. €",134,"-169,51 mio. €"
4,,FC Barcelone,LaLiga,"309,00 mio. €",44,"117,29 mio. €",46,"-191,71 mio. €"
5,,Chelsea FC,Premier League,"299,98 mio. €",84,"179,20 mio. €",80,"-120,78 mio. €"
6,,FC Liverpool,Premier League,"295,71 mio. €",129,"185,52 mio. €",134,"-110,19 mio. €"
7,,FC Internazionale,Serie A,"287,90 mio. €",178,"188,06 mio. €",181,"-99,84 mio. €"
8,,Olympique Lyonnais,Ligue 1,"269,45 mio. €",76,"241,23 mio. €",69,"-28,23 mio. €"
9,,Manchester United,Premier League,"238,05 mio. €",105,"184,42 mio. €",109,"-53,64 mio. €"
10,,Atlético de Madrid,LaLiga,"209,18 mio. €",83,"85,75 mio. €",86,"-123,43 mio. €"
11,,Bayern Munich,Bundesliga,"204,10 mio. €",45,"79,55 mio. €",50,"-124,55 mio. €"
12,,Juventus Turin,Serie A,"203,64 mio. €",156,"178,28 mio. €",156,"-25,36 mio. €"
13,,AC Milan,Serie A,"199,88 mio. €",131,"208,30 mio. €",131,"8,42 mio. €"
14,,ACF Fiorentina,Serie A,"185,55 mio. €",116,"115,68 mio. €",119,"-69,87 mio. €"
15,,West Ham United,Premier League,"176,24 mio. €",122,"159,43 mio. €",120,"-16,81 mio. €"
16,,Newcastle United,Championship,"173,22 mio. €",84,"142,23 mio. €",81,"-30,99 mio. €"
17,,Aston Villa,Premier League,"168,94 mio. €",85,"55,75 mio. €",78,"-113,20 mio. €"
18,,AFC Sunderland,Premier League,"165,55 mio. €",143,"47,43 mio. €",144,"-118,13 mio. €"
19,,FC Valencia,LaLiga,"158,36 mio. €",102,"74,26 mio. €",98,"-84,11 mio. €"
20,,Genoa CFC,Serie A,"157,03 mio. €",192,"130,56 mio. €",189,"-26,47 mio. €"
21,,US Palermo,Serie A,"154,20 mio. €",139,"134,77 mio. €",137,"-19,43 mio. €"
22,,FC Arsenal,Premier League,"144,10 mio. €",77,"168,15 mio. €",78,"24,05 mio. €"
23,,Villarreal CF,LaLiga,"140,01 mio. €",74,"99,50 mio. €",78,"-40,51 mio. €"
24,,Zenit St. Pétersbourg,Premier Liga,"136,55 mio. €",62,"67,73 mio. €",61,"-68,83 mio. €"
25,,FC Everton,Premier League,"136,35 mio. €",74,"65,94 mio. €",69,"-70,41 mio. €"
26,,Sevilla FC,LaLiga,"135,90 mio. €",66,"140,65 mio. €",70,"4,75 mio. €"
27,,Olympique de Marseille,Ligue 1,"135,18 mio. €",131,"114,08 mio. €",133,"-21,10 mio. €"
28,,SSC Napoli,Serie A,"132,75 mio. €",79,"16,02 mio. €",89,"-116,73 mio. €"
29,,FC Portsmouth,Premier League,"125,28 mio. €",155,"142,98 mio. €",150,"17,70 mio. €"
30,,FC Porto,Liga Portugal,"122,85 mio. €",204,"258,87 mio. €",208,"136,02 mio. €"
31,,SL Benfica,Liga Portugal,"119,78 mio. €",182,"91,30 mio. €",179,"-28,48 mio. €"
32,,Hamburger SV,Bundesliga,"117,20 mio. €",79,"88,84 mio. €",74,"-28,36 mio. €"
33,,VfL Wolfsburg,Bundesliga,"111,29 mio. €",78,"36,06 mio. €",79,"-75,23 mio. €"
34,,AS Roma,Serie A,"108,63 mio. €",136,"89,21 mio. €",139,"-19,43 mio. €"
35,,Wigan Athletic,Premier League,"105,58 mio. €",105,"98,26 mio. €",108,"-7,33 mio. €"
36,,FC Fulham,Premier League,"104,74 mio. €",137,"50,97 mio. €",137,"-53,77 mio. €"
37,,Dynamo Moscou,Premier Liga,"101,65 mio. €",61,"67,63 mio. €",68,"-34,03 mio. €"
38,,Shakhtar Donetsk,Premier Liga,"99,58 mio. €",74,"108,04 mio. €",73,"8,46 mio. €"
39,,Ajax Amsterdam,Eredivisie,"97,32 mio. €",81,"125,37 mio. €",83,"28,05 mio. €"
40,,Lokomotiv Moscou,Premier Liga,"96,40 mio. €",87,"47,06 mio. €",82,"-49,34 mio. €"
41,,Middlesbrough FC,Championship,"95,95 mio. €",99,"90,62 mio. €",101,"-5,33 mio. €"
42,,Real Betis Balompié,LaLiga2,"93,89 mio. €",66,"74,91 mio. €",64,"-18,98 mio. €"
43,,Fenerbahce,Süper Lig,"93,50 mio. €",54,"15,90 mio. €",58,"-77,60 mio. €"
44,,Lazio Rome,Serie A,"93,45 mio. €",115,"40,18 mio. €",115,"-53,27 mio. €"
45,,Udinese Calcio,Serie A,"82,15 mio. €",211,"141,84 mio. €",205,"59,68 mio. €"
46,,Real Zaragoza,LaLiga,"82,10 mio. €",78,"114,30 mio. €",77,"32,20 mio. €"
47,,Paris Saint-Germain,Ligue 1,"81,40 mio. €",80,"59,28 mio. €",85,"-22,13 mio. €"
48,,Birmingham City,Premier League,"81,38 mio. €",143,"60,18 mio. €",147,"-21,20 mio. €"
49,,Bolton Wanderers,Premier League,"81,25 mio. €",98,"38,69 mio. €",85,"-42,56 mio. €"
50,,UC Sampdoria,Serie A,"76,44 mio. €",153,"52,32 mio. €",154,"-24,12 mio. €"
51,,Besiktas JK,Süper Lig,"76,15 mio. €",100,"17,50 mio. €",102,"-58,65 mio. €"
52,,SV Werder Bremen,Bundesliga,"75,44 mio. €",67,"80,49 mio. €",57,"5,05 mio. €"
53,,FC Girondins de Bordeaux,Ligue 1,"74,68 mio. €",75,"45,10 mio. €",73,"-29,58 mio. €"
54,,Parma FC,Serie A,"72,39 mio. €",136,"110,11 mio. €",142,"37,72 mio. €"
55,,West Bromwich Albion,Championship,"71,92 mio. €",107,"58,94 mio. €",107,"-12,99 mio. €"
56,,Celtic Glasgow,Premiership,"71,73 mio. €",113,"37,73 mio. €",106,"-34,00 mio. €"
57,,Stoke City,Premier League,"71,67 mio. €",133,"19,92 mio. €",133,"-51,75 mio. €"
58,,AS Saint-Étienne,Ligue 1,"69,41 mio. €",79,"57,60 mio. €",78,"-11,81 mio. €"
59,,PSV Eindhoven,Eredivisie,"68,30 mio. €",88,"78,38 mio. €",90,"10,08 mio. €"
60,,Stade Rennais FC,Ligue 1,"64,95 mio. €",81,"78,46 mio. €",82,"13,51 mio. €"
61,,VfB Stuttgart,Bundesliga,"64,65 mio. €",75,"85,40 mio. €",73,"20,75 mio. €"
62,,Al-Sadd SC,Qatar,"64,50 mio. €",45,"31,70 mio. €",45,"-32,80 mio. €"
63,,AS Monaco,Ligue 1,"64,20 mio. €",106,"96,58 mio. €",103,"32,38 mio. €"
64,,AZ Alkmaar,Eredivisie,"63,10 mio. €",72,"55,53 mio. €",74,"-7,58 mio. €"
65,,Olympiakós Le Pirée,Super League 1,"61,34 mio. €",92,"33,20 mio. €",94,"-28,14 mio. €"
66,,Blackburn Rovers,Premier League,"58,54 mio. €",133,"86,74 mio. €",128,"28,20 mio. €"
67,,RC Lens,Ligue 1,"57,25 mio. €",78,"68,30 mio. €",87,"11,05 mio. €"
68,,Torino FC,Serie B,"56,52 mio. €",133,"32,60 mio. €",133,"-23,92 mio. €"
69,,FC Schalke 04,Bundesliga,"56,25 mio. €",65,"39,30 mio. €",58,"-16,96 mio. €"
70,,Spartak Moscou,Premier Liga,"55,34 mio. €",65,"72,33 mio. €",67,"16,99 mio. €"
71,,Panathinaikos Athen,Super League 1,"54,89 mio. €",139,"9,94 mio. €",145,"-44,95 mio. €"
72,,FC Getafe,LaLiga,"54,25 mio. €",63,"45,94 mio. €",65,"-8,31 mio. €"
73,,CSKA Moscou,Premier Liga,"52,92 mio. €",53,"63,65 mio. €",55,"10,73 mio. €"
74,,Rubin Kazan,Premier Liga,"52,80 mio. €",77,"12,10 mio. €",77,"-40,70 mio. €"
75,,AC Siena,Serie A,"52,05 mio. €",158,"42,93 mio. €",159,"-9,13 mio. €"
76,,Dynamo Kyiv,Premier Liga,"51,85 mio. €",86,"34,35 mio. €",90,"-17,50 mio. €"
77,,Galatasaray,Süper Lig,"50,99 mio. €",100,"13,05 mio. €",97,"-37,94 mio. €"
78,,Glasgow Rangers,Premiership,"50,58 mio. €",110,"37,39 mio. €",117,"-13,19 mio. €"
79,,Borussia Dortmund,Bundesliga,"49,28 mio. €",60,"45,13 mio. €",58,"-4,15 mio. €"
80,,Sheffield United,Championship,"48,79 mio. €",203,"50,45 mio. €",208,"1,66 mio. €"
81,,Cagliari Calcio,Serie A,"48,75 mio. €",89,"21,20 mio. €",87,"-27,55 mio. €"
