#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,Chelsea FC,Premier League,"595,70 mio. €",150,"294,25 mio. €",155,"-301,45 mio. €"
2,,Manchester City,Premier League,"554,91 mio. €",116,"157,25 mio. €",121,"-397,66 mio. €"
3,,Real Madrid,LaLiga,"489,00 mio. €",39,"277,60 mio. €",39,"-211,40 mio. €"
4,,Paris Saint-Germain,Ligue 1,"452,50 mio. €",68,"49,85 mio. €",65,"-402,65 mio. €"
5,,FC Liverpool,Premier League,"443,18 mio. €",104,"265,72 mio. €",104,"-177,46 mio. €"
6,,Manchester United,Premier League,"440,53 mio. €",93,"88,01 mio. €",98,"-352,52 mio. €"
7,,FC Barcelone,LaLiga,"433,22 mio. €",50,"210,05 mio. €",48,"-223,17 mio. €"
8,,Juventus Turin,Serie A,"338,70 mio. €",241,"174,27 mio. €",242,"-164,42 mio. €"
9,,AS Roma,Serie A,"322,41 mio. €",201,"221,33 mio. €",197,"-101,08 mio. €"
10,,FC Arsenal,Premier League,"312,71 mio. €",108,"192,19 mio. €",112,"-120,52 mio. €"
11,,Atlético de Madrid,LaLiga,"280,20 mio. €",90,"290,00 mio. €",90,"9,81 mio. €"
12,,Tottenham Hotspur,Premier League,"279,88 mio. €",154,"301,51 mio. €",155,"21,63 mio. €"
13,,SSC Napoli,Serie A,"265,80 mio. €",175,"166,19 mio. €",172,"-99,61 mio. €"
14,,AS Monaco,Ligue 1,"254,85 mio. €",145,"135,27 mio. €",147,"-119,58 mio. €"
15,,Bayern Munich,Bundesliga,"254,80 mio. €",43,"100,20 mio. €",39,"-154,60 mio. €"
16,,Anzhi Makhachkala ( -2022),1.Division,"251,45 mio. €",109,"204,15 mio. €",105,"-47,30 mio. €"
17,,AC Milan,Serie A,"236,10 mio. €",245,"182,33 mio. €",242,"-53,76 mio. €"
18,,Inter Milan,Serie A,"233,23 mio. €",218,"220,38 mio. €",215,"-12,85 mio. €"
19,,VfL Wolfsburg,Bundesliga,"227,70 mio. €",109,"115,93 mio. €",106,"-111,78 mio. €"
20,,Zenit St. Pétersbourg,Premier Liga,"210,56 mio. €",43,"25,95 mio. €",43,"-184,61 mio. €"
21,,SL Benfica,Liga Portugal,"193,48 mio. €",202,"352,95 mio. €",201,"159,46 mio. €"
22,,Genoa CFC,Serie A,"187,80 mio. €",330,"276,78 mio. €",335,"88,98 mio. €"
23,,FC Southampton,Premier League,"185,53 mio. €",117,"142,37 mio. €",120,"-43,16 mio. €"
24,,FC Porto,Liga Portugal,"182,08 mio. €",156,"336,80 mio. €",154,"154,72 mio. €"
25,,FC Valencia,LaLiga,"162,57 mio. €",79,"249,80 mio. €",84,"87,23 mio. €"
26,,Borussia Dortmund,Bundesliga,"159,43 mio. €",54,"102,62 mio. €",54,"-56,81 mio. €"
27,,AFC Sunderland,Premier League,"151,75 mio. €",147,"112,56 mio. €",154,"-39,19 mio. €"
28,,Shakhtar Donetsk,Premier Liga,"150,92 mio. €",79,"127,40 mio. €",79,"-23,52 mio. €"
29,,ACF Fiorentina,Serie A,"146,12 mio. €",171,"138,26 mio. €",166,"-7,86 mio. €"
30,,Galatasaray,Süper Lig,"143,99 mio. €",105,"46,67 mio. €",105,"-97,31 mio. €"
31,,Dynamo Kyiv,Premier Liga,"142,33 mio. €",80,"69,94 mio. €",81,"-72,39 mio. €"
32,,Queens Park Rangers,Premier League,"137,92 mio. €",206,"48,40 mio. €",194,"-89,52 mio. €"
33,,Spartak Moscou,Premier Liga,"137,65 mio. €",81,"61,00 mio. €",86,"-76,65 mio. €"
34,,US Palermo,Serie A,"136,22 mio. €",219,"157,68 mio. €",219,"21,45 mio. €"
35,,Dynamo Moscou,Premier Liga,"133,40 mio. €",81,"47,35 mio. €",83,"-86,05 mio. €"
36,,Rubin Kazan,Premier Liga,"132,35 mio. €",86,"80,50 mio. €",89,"-51,85 mio. €"
37,,Fenerbahce,Süper Lig,"123,05 mio. €",59,"42,55 mio. €",59,"-80,50 mio. €"
38,,Newcastle United,Premier League,"121,77 mio. €",103,"122,33 mio. €",103,565 K €
39,,Olympique de Marseille,Ligue 1,"121,10 mio. €",74,"70,95 mio. €",80,"-50,15 mio. €"
40,,Udinese Calcio,Serie A,"119,67 mio. €",284,"234,97 mio. €",291,"115,30 mio. €"
41,,Aston Villa,Premier League,"118,86 mio. €",120,"84,76 mio. €",118,"-34,10 mio. €"
42,,Bayer 04 Leverkusen,Bundesliga,"116,99 mio. €",87,"91,21 mio. €",89,"-25,78 mio. €"
43,,West Ham United,Premier League,"113,16 mio. €",127,"25,13 mio. €",128,"-88,03 mio. €"
44,,Guangzhou Evergrande Taobao,Super League,"112,21 mio. €",99,"12,90 mio. €",86,"-99,31 mio. €"
45,,UC Sampdoria,Serie A,"109,11 mio. €",236,"90,67 mio. €",232,"-18,44 mio. €"
46,,Sevilla FC,LaLiga,"106,35 mio. €",101,"199,03 mio. €",101,"92,68 mio. €"
47,,Parma FC,Serie A,"103,97 mio. €",684,"122,18 mio. €",675,"18,20 mio. €"
48,,FC Everton,Premier League,"102,51 mio. €",79,"100,15 mio. €",76,"-2,36 mio. €"
49,,Swansea City,Premier League,"102,45 mio. €",115,"94,96 mio. €",112,"-7,49 mio. €"
50,,Hull City,Premier League,"94,45 mio. €",173,"28,58 mio. €",168,"-65,87 mio. €"
51,,Hamburger SV,Bundesliga,"94,25 mio. €",75,"80,15 mio. €",76,"-14,10 mio. €"
52,,Lazio Rome,Serie A,"93,45 mio. €",132,"82,96 mio. €",133,"-10,49 mio. €"
53,,Lokomotiv Moscou,Premier Liga,"92,10 mio. €",67,"59,26 mio. €",69,"-32,84 mio. €"
54,,Málaga CF,LaLiga,"91,03 mio. €",88,"98,24 mio. €",91,"7,21 mio. €"
55,,FC Fulham,Championship,"85,91 mio. €",136,"73,95 mio. €",138,"-11,96 mio. €"
56,,TSG 1899 Hoffenheim,Bundesliga,"83,75 mio. €",102,"91,57 mio. €",102,"7,82 mio. €"
57,,Norwich City,Championship,"81,70 mio. €",121,"25,31 mio. €",114,"-56,39 mio. €"
58,,Torino FC,Serie A,"80,85 mio. €",164,"67,38 mio. €",167,"-13,47 mio. €"
59,,Cardiff City,Championship,"80,63 mio. €",152,"39,41 mio. €",141,"-41,22 mio. €"
60,,Trabzonspor,Süper Lig,"80,58 mio. €",128,"38,48 mio. €",125,"-42,10 mio. €"
61,,FC Schalke 04,Bundesliga,"80,35 mio. €",80,"77,68 mio. €",88,"-2,68 mio. €"
62,,Stoke City,Premier League,"78,38 mio. €",111,"13,20 mio. €",112,"-65,18 mio. €"
63,,Stade Rennais FC,Ligue 1,"77,89 mio. €",89,"104,23 mio. €",88,"26,34 mio. €"
64,,CSKA Moscou,Premier Liga,"76,14 mio. €",59,"64,70 mio. €",60,"-11,44 mio. €"
65,,Villarreal CF,LaLiga,"73,80 mio. €",88,"125,55 mio. €",86,"51,75 mio. €"
66,,Atalanta BC,Serie A,"73,57 mio. €",185,"68,33 mio. €",188,"-5,24 mio. €"
67,,Sporting CP,Liga Portugal,"72,19 mio. €",141,"111,13 mio. €",143,"38,94 mio. €"
68,,US Sassuolo,Serie A,"72,18 mio. €",121,"19,38 mio. €",117,"-52,80 mio. €"
69,,FC Bologna,Serie B,"68,86 mio. €",182,"81,40 mio. €",183,"12,54 mio. €"
70,,West Bromwich Albion,Premier League,"68,55 mio. €",101,"29,40 mio. €",105,"-39,16 mio. €"
71,,Crystal Palace,Premier League,"67,73 mio. €",167,"19,63 mio. €",149,"-48,10 mio. €"
72,,Corinthians São Paulo,Série A,"65,70 mio. €",216,"97,93 mio. €",225,"32,23 mio. €"
73,,Olympiakós Le Pirée,Super League 1,"65,67 mio. €",198,"78,22 mio. €",195,"12,55 mio. €"
74,,PSV Eindhoven,Eredivisie,"65,11 mio. €",64,"73,18 mio. €",64,"8,07 mio. €"
75,,Borussia Mönchengladbach,Bundesliga,"63,70 mio. €",60,"51,03 mio. €",62,"-12,67 mio. €"
76,,Metalist Kharkiv (- 2016),Premier Liga,"61,90 mio. €",103,"70,56 mio. €",100,"8,66 mio. €"
77,,Dnipro Dnipropetrovsk  (-2020),Premier Liga,"60,79 mio. €",90,"8,50 mio. €",88,"-52,29 mio. €"
78,,Besiktas JK,Süper Lig,"59,45 mio. €",114,"7,92 mio. €",115,"-51,53 mio. €"
79,,FK Krasnodar,Premier Liga,"57,49 mio. €",87,"21,55 mio. €",94,"-35,94 mio. €"
80,,LOSC Lille,Ligue 1,"56,65 mio. €",68,"142,13 mio. €",67,"85,48 mio. €"
81,,SV Werder Bremen,Bundesliga,"56,57 mio. €",71,"71,80 mio. €",77,"15,24 mio. €"
82,,Wigan Athletic,Championship,"54,87 mio. €",133,"70,76 mio. €",133,"15,89 mio. €"
83,,CF América,Liga MX Clausura,"53,92 mio. €",143,"36,40 mio. €",146,"-17,52 mio. €"
84,,Shandong Luneng Taishan,Super League,"53,41 mio. €",57,"8,08 mio. €",64,"-45,33 mio. €"
85,,Wolverhampton Wanderers,Championship,"53,29 mio. €",152,"47,13 mio. €",157,"-6,16 mio. €"
86,,Leicester City,Premier League,"52,67 mio. €",156,"9,54 mio. €",149,"-43,13 mio. €"
87,,FC Twente Enschede,Eredivisie,"51,75 mio. €",86,"97,29 mio. €",84,"45,54 mio. €"
88,,Olympique Lyonnais,Ligue 1,"51,44 mio. €",55,"88,92 mio. €",57,"37,48 mio. €"
89,,Cagliari Calcio,Serie A,"51,10 mio. €",108,"66,58 mio. €",108,"15,48 mio. €"
90,,Red Bull Salzbourg,Bundesliga,"50,34 mio. €",91,"61,15 mio. €",91,"10,81 mio. €"
91,,Santos FC,Série A,"50,25 mio. €",184,"163,60 mio. €",192,"113,35 mio. €"
92,,Al-Ahli Dubai Club (- 2017),UAE Pro League,"48,64 mio. €",64,"5,75 mio. €",77,"-42,89 mio. €"
93,,Blackburn Rovers,Championship,"48,28 mio. €",174,"57,40 mio. €",179,"9,13 mio. €"
94,,FC São Paulo,Série A,"47,85 mio. €",177,"95,79 mio. €",186,"47,94 mio. €"
95,,Al-Jazira (Abu Dhabi),UAE Pro League,"47,80 mio. €",39,"12,89 mio. €",61,"-34,91 mio. €"
96,,Club Brugge KV,Jupiler Pro League,"45,29 mio. €",101,"40,18 mio. €",102,"-5,11 mio. €"
97,,AS Saint-Étienne,Ligue 1,"45,13 mio. €",79,"81,66 mio. €",82,"36,54 mio. €"
98,,VfB Stuttgart,Bundesliga,"44,60 mio. €",62,"56,55 mio. €",63,"11,95 mio. €"
99,,Clube Atlético Mineiro,Série A,"43,82 mio. €",192,"50,55 mio. €",193,"6,74 mio. €"
100,,Sociedade Esportiva Palmeiras,Série A,"43,70 mio. €",225,"21,75 mio. €",229,"-21,95 mio. €"
101,,Ajax Amsterdam,Eredivisie,"43,60 mio. €",74,"130,18 mio. €",74,"86,58 mio. €"
102,,1.FSV Mainz 05,Bundesliga,"42,20 mio. €",81,"47,17 mio. €",80,"4,97 mio. €"
103,,Standard de Liège,Jupiler Pro League,"41,90 mio. €",149,"78,05 mio. €",146,"36,16 mio. €"
104,,SC Internacional Porto Alegre,Série A,"41,62 mio. €",182,"121,72 mio. €",193,"80,10 mio. €"
105,,Al-Arabi SC,Stars League,"41,60 mio. €",49,815 K €,56,"-40,79 mio. €"
106,,AC Chievo Verona,Serie A,"41,10 mio. €",298,"36,72 mio. €",301,"-4,38 mio. €"
107,,CA Boca Juniors,Superliga,"40,32 mio. €",148,"52,38 mio. €",149,"12,07 mio. €"
108,,El-Jaish SC,Stars League,"40,07 mio. €",59,-,48,"-40,07 mio. €"
109,,FC Granada,LaLiga,"39,76 mio. €",172,"35,10 mio. €",168,"-4,66 mio. €"
110,,Kuban Krasnodar (-2018),Premier Liga,"38,75 mio. €",73,"41,46 mio. €",78,"2,71 mio. €"
111,,RSC Anderlecht,Jupiler Pro League,"38,74 mio. €",114,"83,75 mio. €",112,"45,01 mio. €"
112,,Celtic Glasgow,Premiership,"38,60 mio. €",125,"70,86 mio. €",132,"32,25 mio. €"
113,,FC Lorient,Ligue 1,"38,55 mio. €",82,"65,09 mio. €",80,"26,54 mio. €"
114,,Real Sociedad,LaLiga,"38,20 mio. €",45,"77,70 mio. €",48,"39,50 mio. €"
115,,Al-Ain FC,UAE Pro League,"37,25 mio. €",47,"14,74 mio. €",70,"-22,51 mio. €"
116,,Cruzeiro Esporte Clube,Série A,"36,55 mio. €",258,"90,76 mio. €",253,"54,22 mio. €"
117,,Hannover 96,Bundesliga,"36,05 mio. €",68,"11,92 mio. €",70,"-24,13 mio. €"
118,,FC Bâle 1893,Super League,"35,41 mio. €",83,"74,37 mio. €",82,"38,96 mio. €"
119,,Guangzhou R&F,Super League,"34,79 mio. €",60,"1,50 mio. €",63,"-33,28 mio. €"
120,,Robur Siena,Serie D - E,"33,87 mio. €",263,"49,88 mio. €",272,"16,01 mio. €"
121,,Clube Regatas Flamengo,Série A,"33,21 mio. €",211,"26,61 mio. €",220,"-6,60 mio. €"
122,,Hellas Verona,Serie A,"32,90 mio. €",192,"40,05 mio. €",190,"7,15 mio. €"
123,,Catania Calcio,Serie B,"32,04 mio. €",164,"69,42 mio. €",174,"37,38 mio. €"
124,,KRC Genk,Jupiler Pro League,"31,28 mio. €",77,"41,95 mio. €",77,"10,67 mio. €"
125,,Toulouse FC,Ligue 1,"30,89 mio. €",56,"69,95 mio. €",54,"39,06 mio. €"
126,,Deportivo Guadalajara,Liga MX Clausura,"30,85 mio. €",137,"12,00 mio. €",130,"-18,85 mio. €"
127,,AC Cesena,Serie A,"30,69 mio. €",286,"45,53 mio. €",293,"14,84 mio. €"
128,,Terek Grozny,Premier Liga,"30,53 mio. €",53,900 K €,50,"-29,63 mio. €"
129,,Beijing Guoan,Super League,"30,39 mio. €",79,"6,03 mio. €",82,"-24,36 mio. €"
130,,Grêmio Porto Alegre,Série A,"30,37 mio. €",219,"59,84 mio. €",231,"29,47 mio. €"
131,,CF Monterrey,Liga MX Clausura,"30,30 mio. €",92,"26,09 mio. €",97,"-4,21 mio. €"
132,,Al-Gharafa SC,Stars League,"30,00 mio. €",45,"10,25 mio. €",59,"-19,75 mio. €"
133,,SC Braga,Liga Portugal,"29,76 mio. €",178,"48,95 mio. €",181,"19,18 mio. €"
134,,Al-Hilal Saudi FC,Saudi Pro League,"29,51 mio. €",60,"19,28 mio. €",66,"-10,23 mio. €"
135,,Nottingham Forest,Championship,"29,14 mio. €",141,"20,85 mio. €",139,"-8,29 mio. €"
136,,Athletic Bilbao,LaLiga,"29,12 mio. €",49,"76,00 mio. €",51,"46,88 mio. €"
137,,Shanghai Greenland Shenhua,Super League,"28,99 mio. €",85,"14,80 mio. €",89,"-14,19 mio. €"
138,,FC Girondins de Bordeaux,Ligue 1,"28,50 mio. €",67,"55,50 mio. €",63,"27,00 mio. €"
139,,RasenBallsport Leipzig,2. Bundesliga,"28,36 mio. €",72,-,68,"-28,36 mio. €"
140,,Eintracht Francfort,Bundesliga,"28,28 mio. €",79,"17,13 mio. €",82,"-11,15 mio. €"
141,,Lekhwiya Sports Club,Stars League,"28,00 mio. €",61,-,44,"-28,00 mio. €"
142,,Tigres UANL,Liga MX Clausura,"27,99 mio. €",122,"15,07 mio. €",118,"-12,92 mio. €"
143,,SC Fribourg,Bundesliga,"27,73 mio. €",69,"46,51 mio. €",70,"18,78 mio. €"
144,,Al-Nassr FC,Saudi Pro League,"27,53 mio. €",71,560 K €,85,"-26,97 mio. €"
145,,Delfino Pescara 1936,Serie B,"27,08 mio. €",203,"30,81 mio. €",196,"3,73 mio. €"
146,,Al-Sadd SC,Stars League,"27,05 mio. €",41,500 K €,50,"-26,55 mio. €"
147,,Bolton Wanderers,Championship,"26,63 mio. €",155,"18,36 mio. €",156,"-8,27 mio. €"
