#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,Juventus Turin,Serie A,"60,00 mio. €",15,"5,50 mio. €",5,"-54,50 mio. €"
2,,RasenBallsport Leipzig,Bundesliga,"54,00 mio. €",14,-,1,"-54,00 mio. €"
3,,Real Madrid,LaLiga,"40,00 mio. €",4,-,0,"-40,00 mio. €"
4,,Inter Milan,Serie A,"37,40 mio. €",34,"20,00 mio. €",8,"-17,40 mio. €"
5,,OGC Nice,Ligue 1,"22,50 mio. €",10,"5,00 mio. €",4,"-17,50 mio. €"
6,,US Sassuolo,Serie A,"20,00 mio. €",32,"30,00 mio. €",4,"10,00 mio. €"
7,,Atlético de Madrid,LaLiga,"20,00 mio. €",13,-,2,"-20,00 mio. €"
8,,Wolverhampton Wanderers,Premier League,"11,00 mio. €",7,-,2,"-11,00 mio. €"
9,,Eintracht Francfort,Bundesliga,"9,00 mio. €",7,-,4,"-9,00 mio. €"
10,,Lazio Rome,Serie A,"8,96 mio. €",16,-,2,"-8,96 mio. €"
11,,RC Lens,Ligue 1,"7,20 mio. €",3,-,3,"-7,20 mio. €"
12,,Sporting CP,Liga Portugal,"7,00 mio. €",9,-,2,"-7,00 mio. €"
13,,Bayer 04 Leverkusen,Bundesliga,"7,00 mio. €",5,-,3,"-7,00 mio. €"
14,,Genoa CFC,Serie B,"5,50 mio. €",25,-,9,"-5,50 mio. €"
15,,FC Nantes,Ligue 1,"5,00 mio. €",4,-,4,"-5,00 mio. €"
16,,Olympique de Marseille,Ligue 1,"5,00 mio. €",12,"2,00 mio. €",7,"-3,00 mio. €"
17,,Villarreal CF B,LaLiga2,"2,50 mio. €",8,-,2,"-2,50 mio. €"
18,,Santos Laguna,Liga MX Clausura,"2,35 mio. €",6,-,3,"-2,35 mio. €"
19,,Torino FC,Serie A,"2,30 mio. €",15,-,7,"-2,30 mio. €"
20,,Besiktas JK,Süper Lig,"2,00 mio. €",13,-,6,"-2,00 mio. €"
21,,Royal Antwerp FC,Jupiler Pro League,"1,50 mio. €",9,"9,00 mio. €",4,"7,50 mio. €"
22,,Montpellier Hérault SC,Ligue 1,"1,30 mio. €",3,-,2,"-1,30 mio. €"
23,,Maccabi Tel Aviv,Ligat ha'Al,"1,30 mio. €",28,-,2,"-1,30 mio. €"
24,,Académico Viseu FC,Liga Sabseg,"1,25 mio. €",3,-,5,"-1,25 mio. €"
25,,VfB Stuttgart,Bundesliga,"1,20 mio. €",8,-,3,"-1,20 mio. €"
26,,Royale Union Saint Gilloise,Jupiler Pro League,"1,00 mio. €",3,-,3,"-1,00 mio. €"
27,,Al-Ittihad Club (Jeddah),Saudi Pro League,870 K €,6,-,2,-870 K €
28,,Feyenoord Rotterdam,Eredivisie,850 K €,10,-,4,-850 K €
29,,Rakow Czestochowa,Ekstraklasa,750 K €,8,-,2,-750 K €
30,,Lokomotiv Moscou,Premier Liga,750 K €,15,-,0,-750 K €
31,,Club Atlético Tigre,Superliga,743 K €,6,-,7,-743 K €
32,,Hapoel Beer Sheva,Ligat ha'Al,720 K €,18,-,2,-720 K €
33,,CA Rosario Central,Superliga,690 K €,6,-,6,-690 K €
34,,Empoli Primavera,Primavera 1,450 K €,19,-,9,-450 K €
35,,FC Nordsjalland U19,U19 Boys League,400 K €,1,-,0,-400 K €
36,,Vitória Guimarães SC,Liga Portugal,300 K €,6,"1,75 mio. €",5,"1,45 mio. €"
37,,CA River Plate U20,,300 K €,1,-,1,-300 K €
38,,Feyenoord U21,O21 Div. 1 Spring,235 K €,7,-,4,-235 K €
39,,FC Arouca,Liga Portugal,60 K €,2,-,4,-60 K €
40,,Ohod Al-Medina,,25 K €,3,870 K €,2,845 K €
41,,ssv HBSS,,-,4,-,0,+-0
42,,Huachipato FC,Primera División,-,5,-,2,+-0
43,,SV Oranje Wit,,-,1,-,2,+-0
44,,IF Brommapojkarna,Allsvenskan,-,1,-,0,+-0
45,,Teikyo High School,,-,2,-,2,+-0
46,,Ranheim IL,OBOS-ligaen,-,4,-,2,+-0
47,,Sassuolo Under 18,Under 18 - A,-,2,-,2,+-0
48,,Terneuzense Boys,,-,1,-,1,+-0
49,,Dinamo Minsk,Vysshaya Liga,-,2,-,0,+-0
50,,Club Hilal Al-Quds,,-,1,-,1,+-0
51,,SHB Da Nang FC,V.League 1,-,2,-,0,+-0
52,,Club Atlético Temperley II,,-,3,-,0,+-0
53,,SV Mesum,Westfalenliga 1,-,2,-,1,+-0
54,,Esporte Clube Água Santa (SP),Paulistão A1 - Primeira Fase,-,14,-,0,+-0
