#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,FC Everton,First Division (- 91/92),"6,38 mio. €",98,"2,74 mio. €",99,"-3,64 mio. €"
2,,Real Madrid,LaLiga,"5,89 mio. €",112,"1,30 mio. €",121,"-4,59 mio. €"
3,,FC Barcelone,LaLiga,"5,65 mio. €",145,289 K €,146,"-5,36 mio. €"
4,,Juventus Turin,Serie A,"5,36 mio. €",130,"2,76 mio. €",171,"-2,60 mio. €"
5,,Manchester City,First Division (- 91/92),"5,13 mio. €",101,"3,42 mio. €",106,"-1,71 mio. €"
6,,Hamburger SV,Bundesliga,"4,82 mio. €",97,125 K €,103,"-4,69 mio. €"
7,,Feyenoord Rotterdam,Eredivisie,"4,75 mio. €",128,"1,68 mio. €",129,"-3,06 mio. €"
8,,Ajax Amsterdam,Eredivisie,"4,60 mio. €",137,"4,58 mio. €",144,-21 K €
9,,FC Liverpool,First Division (- 91/92),"4,31 mio. €",85,"2,70 mio. €",87,"-1,61 mio. €"
10,,Manchester United,First Division (- 91/92),"4,28 mio. €",87,"2,05 mio. €",95,"-2,24 mio. €"
11,,Wolverhampton Wanderers,First Division (- 91/92),"4,22 mio. €",91,"3,11 mio. €",96,"-1,12 mio. €"
12,,Leeds United,First Division (- 91/92),"3,65 mio. €",75,"2,90 mio. €",76,-746 K €
13,,Nottingham Forest,First Division (- 91/92),"3,49 mio. €",85,"3,58 mio. €",93,91 K €
14,,FC Valencia,LaLiga,"3,45 mio. €",81,925 K €,81,"-2,53 mio. €"
15,,Bayern Munich,Bundesliga,"3,42 mio. €",131,"2,55 mio. €",135,-873 K €
16,,FC Arsenal,First Division (- 91/92),"3,41 mio. €",83,"1,70 mio. €",97,"-1,71 mio. €"
17,,West Bromwich Albion,First Division (- 91/92),"3,24 mio. €",75,"2,64 mio. €",85,-592 K €
18,,Newcastle United,First Division,"3,22 mio. €",132,"2,86 mio. €",139,-357 K €
19,,West Ham United,First Division,"3,05 mio. €",83,"1,43 mio. €",92,"-1,63 mio. €"
20,,Tottenham Hotspur,First Division (- 91/92),"2,92 mio. €",80,"1,16 mio. €",76,"-1,77 mio. €"
21,,Derby County,First Division (- 91/92),"2,78 mio. €",106,824 K €,97,"-1,96 mio. €"
22,,PSV Eindhoven,Eredivisie,"2,76 mio. €",128,493 K €,128,"-2,26 mio. €"
23,,Lanerossi Vicenza,Serie B,"2,65 mio. €",160,105 K €,194,"-2,55 mio. €"
24,,Chelsea FC,First Division,"2,58 mio. €",107,"3,38 mio. €",111,794 K €
25,,Queens Park Rangers,First Division,"2,31 mio. €",93,"1,37 mio. €",80,-943 K €
26,,Aston Villa,First Division (- 91/92),"2,30 mio. €",101,"4,50 mio. €",109,"2,21 mio. €"
27,,1. FC Köln,Bundesliga,"2,26 mio. €",104,938 K €,106,"-1,33 mio. €"
28,,AFC Sunderland,First Division,"2,22 mio. €",97,"1,93 mio. €",105,-294 K €
29,,Coventry City,First Division (- 91/92),"2,05 mio. €",113,"1,14 mio. €",109,-912 K €
30,,FC Schalke 04,Bundesliga,"2,03 mio. €",123,"1,09 mio. €",127,-938 K €
31,,Eintracht Braunschweig,Bundesliga,"1,94 mio. €",75,"2,57 mio. €",79,628 K €
32,,Borussia Dortmund,Bundesliga,"1,90 mio. €",120,544 K €,118,"-1,36 mio. €"
33,,RSC Anderlecht,Jupiler Pro League,"1,85 mio. €",79,879 K €,84,-974 K €
34,,Crystal Palace,First Division (- 91/92),"1,80 mio. €",119,"2,04 mio. €",108,241 K €
35,,Borussia Mönchengladbach,Bundesliga,"1,72 mio. €",116,"3,58 mio. €",112,"1,86 mio. €"
36,,Hertha BSC,Bundesliga,"1,65 mio. €",119,"1,20 mio. €",107,-445 K €
37,,Galatasaray,Süper Lig,"1,62 mio. €",150,334 K €,150,"-1,29 mio. €"
38,,Ipswich Town,First Division (- 91/92),"1,60 mio. €",83,"1,66 mio. €",83,61 K €
39,,Birmingham City,First Division,"1,51 mio. €",105,"2,01 mio. €",106,498 K €
40,,Sparta Rotterdam,Eredivisie,"1,39 mio. €",135,"2,70 mio. €",142,"1,31 mio. €"
41,,SV Werder Bremen,Bundesliga,"1,39 mio. €",109,"1,03 mio. €",112,-359 K €
42,,Real Betis Balompié,LaLiga,"1,38 mio. €",66,426 K €,78,-958 K €
43,,Eintracht Francfort,Bundesliga,"1,34 mio. €",102,885 K €,98,-450 K €
44,,Stoke City,First Division (- 91/92),"1,29 mio. €",93,"1,10 mio. €",92,-188 K €
45,,AS Roma,Serie A,"1,23 mio. €",148,-,173,"-1,23 mio. €"
46,,Sevilla FC,LaLiga,"1,22 mio. €",64,310 K €,74,-912 K €
47,,Atlético de Madrid,LaLiga,"1,16 mio. €",75,346 K €,83,-815 K €
48,,FC Fulham,First Division,"1,12 mio. €",121,"1,83 mio. €",123,719 K €
49,,Brighton & Hove Albion,First Division (- 91/92),"1,09 mio. €",89,84 K €,82,"-1,00 mio. €"
50,,FC Southampton,First Division (- 91/92),"1,07 mio. €",84,"1,16 mio. €",83,95 K €
51,,Blackpool FC,Angleterre,"1,04 mio. €",86,"2,03 mio. €",103,985 K €
52,,Club Brugge KV,Jupiler Pro League,"1,03 mio. €",75,742 K €,65,-288 K €
53,,Fortuna Düsseldorf,Bundesliga,"1,03 mio. €",102,225 K €,98,-801 K €
54,,Luton Town,First Division,905 K €,93,"1,36 mio. €",91,451 K €
55,,Leicester City,First Division,903 K €,86,"1,45 mio. €",91,542 K €
56,,New York Cosmos,États-Unis,900 K €,56,-,40,-900 K €
57,,1.FC Kaiserslautern,Bundesliga,900 K €,108,175 K €,105,-725 K €
58,,1.FC Saarbrücken,2. BL Süd,895 K €,99,360 K €,98,-535 K €
59,,Middlesbrough FC,First Division (- 91/92),864 K €,77,"1,92 mio. €",75,"1,06 mio. €"
60,,SSC Napoli,Serie A,849 K €,166,180 K €,188,-669 K €
61,,AZ '67 Alkmaar,Eredivisie,814 K €,117,283 K €,94,-530 K €
62,,Bolton Wanderers,First Division (- 91/92),810 K €,67,719 K €,74,-91 K €
63,,Norwich City,First Division (- 91/92),774 K €,98,615 K €,96,-159 K €
64,,Glasgow Rangers,Écosse,734 K €,45,407 K €,62,-327 K €
65,,MSV Duisburg,Bundesliga,730 K €,113,"1,58 mio. €",108,845 K €
66,,Sheffield United,Angleterre,661 K €,81,"1,19 mio. €",94,529 K €
67,,1.FC Nürnberg,2. BL Süd,640 K €,142,458 K €,155,-183 K €
68,,Sheffield Wednesday,Angleterre,623 K €,82,751 K €,96,128 K €
69,,Chicago Sting,États-Unis,617 K €,42,-,28,-617 K €
70,,Go Ahead Eagles Deventer,Eredivisie,608 K €,159,"1,50 mio. €",145,896 K €
71,,FC Twente Enschede,Eredivisie,592 K €,113,"2,57 mio. €",95,"1,97 mio. €"
72,,MVV Maastricht,Eredivisie,560 K €,118,553 K €,116,-7 K €
73,,FC Watford,First Division,546 K €,79,365 K €,73,-181 K €
74,,Athletic Bilbao,LaLiga,504 K €,68,102 K €,67,-402 K €
75,,SC NEC,Eredivisie,498 K €,129,"1,46 mio. €",118,961 K €
76,,FC Porto,Portugal,462 K €,90,528 K €,86,66 K €
77,,Bristol City,First Division (- 91/92),461 K €,63,454 K €,60,-6 K €
78,,Blackburn Rovers,Angleterre,455 K €,84,"1,36 mio. €",91,902 K €
79,,Bayer 05 Uerdingen,Bundesliga,455 K €,52,585 K €,33,130 K €
80,,RSC Charleroi,Jupiler Pro League,450 K €,44,-,32,-450 K €
81,,FC Millwall,Angleterre,445 K €,68,"1,20 mio. €",63,758 K €
82,,Real Zaragoza,LaLiga,444 K €,85,558 K €,81,114 K €
83,,Roda JC Kerkrade,Eredivisie,439 K €,101,90 K €,84,-349 K €
84,,FC Den Haag,Eredivisie,438 K €,136,878 K €,135,440 K €
85,,RWD Molenbeek (- 2002),Jupiler Pro League,438 K €,66,618 K €,53,180 K €
86,,Arminia Bielefeld,2. BL Nord,437 K €,107,505 K €,95,68 K €
87,,Swindon Town,Angleterre,427 K €,69,695 K €,69,268 K €
88,,RCD Español,LaLiga,420 K €,108,823 K €,102,403 K €
89,,Standard de Liège,Jupiler Pro League,415 K €,87,662 K €,83,247 K €
90,,VfL Bochum,Bundesliga,413 K €,85,700 K €,81,288 K €
91,,Celtic Glasgow,Écosse,401 K €,57,820 K €,69,419 K €
92,,FC Amsterdam,Keuken Kampioen Divisie,397 K €,98,809 K €,83,413 K €
93,,Leyton Orient,First Division,397 K €,75,655 K €,81,258 K €
94,,Rot-Weiss Essen,2. BL Nord,391 K €,105,"1,02 mio. €",108,624 K €
95,,FC Internazionale,Serie A,387 K €,156,30 K €,203,-357 K €
96,,Aberdeen FC,Écosse,375 K €,63,"1,09 mio. €",57,712 K €
97,,AD Rayo Vallecano,LaLiga,366 K €,51,222 K €,50,-144 K €
98,,Torino Calcio,Serie A,358 K €,146,79 K €,176,-280 K €
99,,AVC Vitesse,Eredivisie,347 K €,117,446 K €,113,99 K €
100,,Vancouver Whitecaps,Canada,342 K €,36,-,29,-342 K €
101,,FC Walsall,Angleterre,339 K €,94,352 K €,93,13 K €
102,,Wrexham AFC,First Division,335 K €,68,154 K €,59,-181 K €
103,,Portuguesa FC,Venezuela,322 K €,24,-,19,-322 K €
104,,FC Den Bosch '67,Keuken Kampioen Divisie,319 K €,117,664 K €,100,346 K €
105,,Port Vale FC,Angleterre,313 K €,67,137 K €,66,-176 K €
106,,Cardiff City,First Division,309 K €,74,568 K €,94,259 K €
107,,Preston North End,First Division,290 K €,78,"1,85 mio. €",88,"1,56 mio. €"
108,,Charlton Athletic,First Division,282 K €,69,970 K €,74,688 K €
109,,FC Groningen,Keuken Kampioen Divisie,275 K €,141,681 K €,131,406 K €
110,,DWS AFC,Pays-Bas,275 K €,86,715 K €,107,440 K €
111,,OGC Nice,Ligue 1,272 K €,70,-,63,-272 K €
112,,FC Bâle 1893,Super League,260 K €,61,300 K €,62,40 K €
113,,Sporting Gijón,LaLiga,258 K €,50,558 K €,41,300 K €
114,,FC Bologna,Serie A,257 K €,127,"3,72 mio. €",155,"3,47 mio. €"
